NCBI_ID,total_exons_length,mean,std,min,25%,50%,75%,max
NM_000110.4,3078,216.06400259909032,77.74641158677825,101,163.0,191.0,243.75,538
NM_001007792.1,2283,681.0100744634253,112.8482743656059,290,604.5,694.0,769.0,890
NM_001012331.2,2373,650.0720606826801,154.84075848444036,35,570.0,682.0,766.0,890
NM_001014796.3,2568,296.565031152648,75.06307214135205,163,242.0,292.0,332.0,532
NM_001048171.2,1566,725.8761174968072,96.99680824363902,488,660.0,714.0,790.0,971
NM_001048172.2,1569,725.6602931803696,97.02974617624348,488,660.0,713.0,790.0,971
NM_001048173.2,1566,725.8761174968072,96.99680824363902,488,660.0,714.0,790.0,971
NM_001048174.2,1566,725.8761174968072,96.99680824363902,488,660.0,714.0,790.0,971
NM_001128425.2,1650,718.4933333333333,100.70769723809495,444,650.0,704.0,783.0,971
NM_001160301.1,522,198.11494252873564,96.61965226761743,120,158.0,178.0,193.0,538
NM_001293190.2,1611,723.058348851645,97.08768693065721,488,654.0,708.0,787.0,971
NM_001293191.2,1599,722.4202626641651,99.11480424339398,482,655.0,710.0,787.5,971
NM_001293192.2,1290,742.1875968992248,95.7352609407507,490,674.0,735.0,819.0,971
NM_001293195.2,1566,725.8761174968072,96.99680824363902,488,660.0,714.0,790.0,971
NM_001293196.2,1290,742.1875968992248,95.7352609407507,490,674.0,735.0,819.0,971
NM_001350650.2,1221,745.4135954135954,97.44190423149132,490,676.0,740.0,825.0,971
NM_001350651.2,1221,745.4135954135954,97.44190423149132,490,676.0,740.0,825.0,971
NM_001354982.2,2568,296.565031152648,75.06307214135205,163,242.0,292.0,332.0,532
NM_001354983.2,2568,296.565031152648,75.06307214135205,163,242.0,292.0,332.0,532
NM_002524.5,570,396.4859649122807,97.25937264433306,161,331.0,381.0,475.0,610
NM_002529.4,2391,651.3529903805938,154.96215501830054,35,571.5,683.0,768.0,890
NM_006182.4,2568,296.565031152648,75.06307214135205,163,242.0,292.0,332.0,532
NM_012222.3,1641,719.9488117001828,99.03815999026746,482,651.0,705.0,784.0,971
