NCBI_ID,total_exons_length,mean,std,min,25%,50%,75%,max
NM_000110.4,3078,336.454840805718,44.59137851263916,208,307.0,339.0,367.0,450
NM_001007792.1,2283,287.43802014892685,46.58046471629788,118,257.5,295.0,324.0,370
NM_001012331.2,2373,269.15297092288245,73.71845931876076,17,242.0,286.0,322.0,370
NM_001014796.3,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446
NM_001048171.2,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462
NM_001048172.2,1569,356.58508604206503,53.51975419091996,205,330.0,357.0,387.0,462
NM_001048173.2,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462
NM_001048174.2,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462
NM_001128425.2,1650,353.8048484848485,53.86253172062035,205,325.25,354.5,385.0,462
NM_001160301.1,522,319.7547892720307,36.05206868518671,242,295.0,319.0,347.75,391
NM_001293190.2,1611,355.2352576039727,53.464307693292355,205,328.0,356.0,386.0,462
NM_001293191.2,1599,355.6635397123202,53.55654483437588,205,329.0,356.0,386.0,462
NM_001293192.2,1290,360.07209302325583,57.14002437732098,205,330.0,363.0,393.0,462
NM_001293195.2,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462
NM_001293196.2,1290,360.07209302325583,57.14002437732098,205,330.0,363.0,393.0,462
NM_001350650.2,1221,361.5274365274365,58.38442647501699,205,329.0,365.0,396.0,462
NM_001350651.2,1221,361.5274365274365,58.38442647501699,205,329.0,365.0,396.0,462
NM_001354982.2,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446
NM_001354983.2,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446
NM_002524.5,570,316.4421052631579,56.24717277759127,116,293.0,332.0,356.0,388
NM_002529.4,2391,270.0271852781263,74.12375503045304,17,242.0,288.0,323.0,391
NM_006182.4,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446
NM_012222.3,1641,354.3619744058501,53.47945232951809,205,327.0,355.0,386.0,462
NM_000179.3,4083,344.7893705608621,77.14088115894215,69,318.5,367.0,395.0,456
NM_000251.3,2805,283.3832442067736,46.95336037068107,114,251.0,284.0,322.0,399
NM_000463.3,1602,335.1816479400749,42.63893512434454,214,310.0,344.0,371.0,406
NM_001258281.1,2607,284.2930571538166,47.51241750819401,114,251.0,284.0,324.0,399
NM_001281492.2,3693,351.2772813430815,75.22540714943047,76,337.0,373.0,398.0,456
NM_001281493.2,3177,367.67044381491974,49.35318390486372,194,352.0,378.0,401.0,456
