ID,total_length_of_exons,mean,std,min,25%,50%,75%,max
AKT1 NM_001014431.2,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_001014432.2,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_001382430.1,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_001382431.1,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_001382432.1,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_001382433.1,1443,1504.3056133056134,207.8649677456571,1014,1361.0,1525.0,1644.0,1930
AKT1 NM_005163.2,1443,1504.3056133056134,207.86496774565708,1014,1361.0,1525.0,1644.0,1930
ALK NM_001353765.2,1659,1195.1904761904761,141.29823238876867,796,1086.0,1225.0,1307.0,1475
ALK NM_004304.5,4863,1084.3633559531154,239.8167239282852,302,969.5,1132.0,1257.0,1475
APC NM_000038.6,8532,1218.4785513361462,161.92919950314194,553,1171.75,1255.0,1317.0,1528
APC NM_001127510.3,8532,1218.4785513361462,161.92919950314194,553,1171.75,1255.0,1317.0,1528
APC NM_001127511.3,8478,1221.689313517339,159.96988836175004,553,1178.0,1256.0,1317.0,1528
APC NM_001354895.2,8532,1218.4785513361462,161.92919950314194,553,1171.75,1255.0,1317.0,1528
APC NM_001354896.2,8586,1217.67749825297,161.76702258891208,553,1169.0,1254.0,1317.0,1528
APC NM_001354897.2,8562,1218.596823172156,162.25119586235832,553,1175.0,1255.0,1317.0,1528
APC NM_001354898.2,8457,1221.577628000473,160.76703974980987,553,1179.0,1257.0,1317.0,1528
APC NM_001354899.2,8448,1221.5808475378788,159.6340778294008,553,1176.0,1256.0,1317.0,1528
APC NM_001354900.2,8409,1223.3546200499466,156.17463149842632,553,1177.0,1257.0,1318.0,1528
APC NM_001354901.2,8355,1224.2093357271094,156.27878231311647,553,1180.0,1257.0,1318.0,1528
APC NM_001354902.2,8259,1222.4954594987287,158.98473622519617,553,1178.0,1257.0,1319.0,1528
APC NM_001354903.2,8229,1222.3870458135862,158.63478549813513,553,1176.0,1256.0,1319.0,1528
APC NM_001354904.2,8154,1225.6372332597498,157.29096074129296,553,1182.0,1259.0,1319.0,1528
APC NM_001354905.2,8052,1228.4193989071039,152.40395314681683,553,1183.0,1259.0,1320.0,1528
APC NM_001354906.2,7683,1248.313158922296,129.12711503791613,568,1202.0,1269.0,1323.0,1528
ATM NM_000051.4,9171,994.7004688692618,159.59686542483644,551,879.0,997.0,1112.0,1491
ATM NM_001351834.2,9171,994.7004688692618,159.59686542483644,551,879.0,997.0,1112.0,1491
ATM NM_001351835.2,339,941.1150442477876,94.48378141520261,725,882.0,939.0,993.0,1123
ATM NM_001351836.2,339,941.1150442477876,94.48378141520263,725,882.0,939.0,993.0,1123
BAP1 NM_004656.4,2190,1255.0671232876712,173.55841943828412,759,1155.0,1263.0,1352.0,1688
BRAF NM_001354609.2,2304,1350.618923611111,354.1737134312541,92,1264.75,1422.5,1560.0,1871
BRAF NM_001374244.1,2421,1359.331268071045,349.0545851858404,92,1271.0,1430.0,1571.0,1871
BRAF NM_001374258.1,2424,1359.8622112211222,348.98510953488113,92,1271.75,1430.0,1570.0,1871
BRAF NM_001378467.1,2313,1350.185905750108,353.55444517205575,92,1263.0,1422.0,1560.0,1871
BRAF NM_001378468.1,2277,1323.1234079929732,361.97961637692737,92,1246.0,1400.0,1540.0,1871
BRAF NM_001378469.1,2235,1339.1400447427293,352.716433340229,92,1259.5,1412.0,1550.5,1821
BRAF NM_001378470.1,2202,1355.6162579473207,360.9915485285295,92,1272.0,1434.0,1568.75,1871
BRAF NM_001378471.1,2193,1340.0652074783402,354.85640901605205,92,1266.0,1420.0,1550.0,1765
BRAF NM_001378472.1,2148,1430.725791433892,181.7120483349576,846,1299.0,1441.0,1574.0,1871
BRAF NM_001378473.1,2145,1430.225641025641,181.7355421246368,846,1299.0,1439.0,1575.0,1871
BRAF NM_001378474.1,2136,1331.931647940075,368.7018889477373,0,1259.0,1408.0,1545.25,1871
BRAF NM_001378475.1,2040,1333.910294117647,367.8807570257113,92,1256.75,1408.0,1543.0,1871
BRAF NM_004333.6,2301,1350.0482398956976,354.2376785285439,92,1264.0,1422.0,1562.0,1871
BRCA1 NM_007294.4,5592,1308.5802932761087,106.46854826850162,833,1250.0,1312.0,1390.0,1510
BRCA1 NM_007297.4,5451,1309.9231333700238,104.39781254772055,833,1253.0,1313.0,1388.0,1510
BRCA1 NM_007298.3,2280,1288.442543859649,133.1235218933293,833,1205.0,1302.0,1393.25,1507
BRCA1 NM_007299.4,2100,1287.2433333333333,137.96348478216274,833,1195.0,1301.0,1404.25,1507
BRCA1 NM_007300.4,5655,1306.0167992926613,108.6534778376158,833,1247.0,1311.0,1388.5,1510
BRCA2 NM_000059.4,10257,1166.8827142439309,103.10262706075305,846,1102.0,1171.0,1232.0,1501
BRIP1 NM_032043.3,3750,1166.2664,174.55120279451683,671,1041.0,1183.0,1289.0,1587
CDK4 NM_000075.4,912,1227.8618421052631,123.38331743380768,870,1146.0,1237.0,1326.0,1466
CDKN2A NM_000077.5,471,625.0997876857749,177.18674071459526,260,482.5,580.0,765.5,1000
CDKN2A NM_001195132.2,504,645.5833333333334,188.0992214162927,260,491.75,621.5,793.75,1000
CDKN2A NM_001363763.2,318,621.1069182389937,149.41550015645217,359,506.75,568.5,743.0,978
CDKN2A NM_058195.4,399,590.1378446115289,121.03705378233333,355,491.5,567.0,695.0,814
CDKN2A NM_058197.5,351,826.5185185185185,233.75224753467765,260,679.5,901.0,1025.0,1086
CHEK2 NM_001005735.2,1761,1055.2918796138558,218.1041582565417,527,956.0,1071.0,1175.0,1483
CHEK2 NM_001257387.2,969,1044.6336429308565,167.1267054816966,616,963.0,1038.0,1125.0,1483
CHEK2 NM_001349956.2,1431,1104.2019566736549,176.81473579249993,649,991.0,1086.0,1215.0,1483
CHEK2 NM_007194.4,1632,1088.3394607843138,190.39860723618048,616,990.0,1094.0,1183.0,1483
CHEK2 NM_145862.2,1545,1092.4025889967638,194.60991538017075,616,990.0,1102.0,1190.0,1483
CTNNB1 NM_001098209.2,2346,1177.0477408354645,158.67162407628174,717,1068.0,1199.0,1303.75,1449
CTNNB1 NM_001098210.2,2346,1177.0477408354645,158.67162407628174,717,1068.0,1199.0,1303.75,1449
CTNNB1 NM_001330729.2,2325,1178.7251612903226,158.28306874984352,717,1071.0,1200.0,1305.0,1449
CTNNB1 NM_001904.4,2346,1177.0477408354645,158.67162407628174,717,1068.0,1199.0,1303.75,1449
DDR2 NM_001014796.3,2568,1160.9302959501558,163.2405245157169,727,1043.75,1158.0,1288.0,1519
DDR2 NM_001354982.2,2568,1160.9302959501558,163.2405245157169,727,1043.75,1158.0,1288.0,1519
DDR2 NM_001354983.2,2568,1160.9302959501558,163.2405245157169,727,1043.75,1158.0,1288.0,1519
DDR2 NM_006182.4,2568,1160.9302959501558,163.2405245157169,727,1043.75,1158.0,1288.0,1519
DPYD NM_000110.4,3078,982.9866796621183,155.3347486089425,611,869.0,992.0,1092.0,1319
DPYD NM_001160301.1,522,850.8486590038315,96.5009427227261,622,789.0,853.0,910.75,1046
EGFR NM_001346897.2,3276,1462.6810134310135,264.5801003745544,207,1365.75,1491.0,1620.0,1866
EGFR NM_001346898.2,3411,1461.5842861330989,260.67986260481405,207,1363.5,1490.0,1613.0,1866
EGFR NM_001346899.2,3498,1472.9531160663237,261.8345793773007,207,1373.0,1499.0,1637.75,1866
EGFR NM_001346900.2,3474,1500.6937248128959,174.92808124698993,995,1383.0,1503.0,1633.75,1866
EGFR NM_001346941.2,2832,1460.6532485875707,279.98033531523805,207,1361.0,1489.0,1639.25,1866
EGFR NM_005228.5,3633,1471.541701073493,258.2864065775943,207,1371.0,1498.0,1632.0,1866
EGFR NM_201282.2,1887,1415.661897191309,306.25809599566287,207,1333.5,1476.0,1576.0,1828
EGFR NM_201283.2,1218,1386.8711001642037,358.65394151458713,207,1314.25,1470.5,1592.75,1816
EGFR NM_201284.2,2118,1412.9490084985837,292.9410800456754,207,1329.0,1469.0,1567.0,1828
ERBB2 NM_001005862.3,3678,1228.3357803153888,185.90721504487456,635,1097.0,1248.0,1372.0,1588
ERBB2 NM_001289936.2,3723,1227.2723609991942,185.17462300875317,635,1097.0,1242.0,1370.0,1588
ERBB2 NM_001289937.2,3168,1182.7929292929293,217.66157263649987,262,1063.0,1215.0,1337.0,1588
ERBB2 NM_001289938.2,1812,1190.2240618101546,176.83458038187038,635,1063.0,1227.0,1321.0,1528
ERBB2 NM_001382782.1,3678,1228.3357803153888,185.90721504487456,635,1097.0,1248.0,1372.0,1588
ERBB2 NM_001382783.1,3678,1228.3357803153888,185.90721504487456,635,1097.0,1248.0,1372.0,1588
ERBB2 NM_001382784.1,3885,1174.483655083655,298.82825072701706,1,1068.0,1232.0,1366.0,1588
ERBB2 NM_001382785.1,3870,1181.9757105943152,278.7304025412373,72,1070.0,1232.0,1366.0,1588
ERBB2 NM_001382786.1,3849,1174.7503247596778,300.1395573966644,1,1068.0,1233.0,1367.0,1588
ERBB2 NM_001382787.1,3843,1199.8979963570127,231.36119286837933,262,1074.5,1234.0,1367.0,1588
ERBB2 NM_001382788.1,3798,1207.558188520274,221.52407816851675,262,1082.0,1238.0,1368.0,1588
ERBB2 NM_001382789.1,3789,1209.5283716020058,219.2870673310243,262,1083.0,1238.0,1368.0,1588
ERBB2 NM_001382790.1,3765,1211.3508632138114,218.61189431804908,262,1085.0,1240.0,1369.0,1588
ERBB2 NM_001382791.1,3759,1211.5448257515297,218.9515550248675,262,1086.0,1240.0,1369.0,1588
ERBB2 NM_001382792.1,3732,1211.539389067524,219.93678778632167,262,1085.0,1242.0,1370.0,1588
ERBB2 NM_001382793.1,3726,1211.467525496511,220.10568393270975,262,1085.0,1241.5,1370.0,1588
ERBB2 NM_001382794.1,3726,1211.5746108427268,220.1202385019848,262,1085.0,1242.0,1370.0,1588
ERBB2 NM_001382795.1,3720,1211.2663978494625,220.4471189192028,262,1084.0,1243.0,1370.0,1588
ERBB2 NM_001382796.1,3681,1212.813094267862,219.64261820208634,262,1087.0,1242.0,1371.0,1588
ERBB2 NM_001382797.1,3669,1213.8517307168165,220.97265120252735,262,1087.0,1248.0,1372.0,1588
